"ResponseId"	"UserLanguage"	"Age"	"Sex"	"subjectLighting"	"rating"
"1"	"R_2QVUTvHQF2MIFRc"	"EN"	"35"	"Male"	"A1"	5
"2"	"R_2QVUTvHQF2MIFRc"	"EN"	"35"	"Male"	"A2"	7
"3"	"R_2QVUTvHQF2MIFRc"	"EN"	"35"	"Male"	"A3"	7
"4"	"R_2QVUTvHQF2MIFRc"	"EN"	"35"	"Male"	"A4"	7
"5"	"R_2QVUTvHQF2MIFRc"	"EN"	"35"	"Male"	"A5"	5
"6"	"R_2QVUTvHQF2MIFRc"	"EN"	"35"	"Male"	"A6"	8
"7"	"R_2QVUTvHQF2MIFRc"	"EN"	"35"	"Male"	"B1"	6
"8"	"R_2QVUTvHQF2MIFRc"	"EN"	"35"	"Male"	"B2"	6
"9"	"R_2QVUTvHQF2MIFRc"	"EN"	"35"	"Male"	"B3"	6
"10"	"R_2QVUTvHQF2MIFRc"	"EN"	"35"	"Male"	"B4"	6
"11"	"R_2QVUTvHQF2MIFRc"	"EN"	"35"	"Male"	"B5"	6
"12"	"R_2QVUTvHQF2MIFRc"	"EN"	"35"	"Male"	"B6"	6
"13"	"R_2QVUTvHQF2MIFRc"	"EN"	"35"	"Male"	"D1"	4
"14"	"R_2QVUTvHQF2MIFRc"	"EN"	"35"	"Male"	"D2"	4
"15"	"R_2QVUTvHQF2MIFRc"	"EN"	"35"	"Male"	"D3"	4
"16"	"R_2QVUTvHQF2MIFRc"	"EN"	"35"	"Male"	"D4"	4
"17"	"R_2QVUTvHQF2MIFRc"	"EN"	"35"	"Male"	"D5"	4
"18"	"R_2QVUTvHQF2MIFRc"	"EN"	"35"	"Male"	"D6"	4
"19"	"R_2QVUTvHQF2MIFRc"	"EN"	"35"	"Male"	"G1"	6
"20"	"R_2QVUTvHQF2MIFRc"	"EN"	"35"	"Male"	"G2"	7
"21"	"R_2QVUTvHQF2MIFRc"	"EN"	"35"	"Male"	"G3"	7
"22"	"R_2QVUTvHQF2MIFRc"	"EN"	"35"	"Male"	"G4"	7
"23"	"R_2QVUTvHQF2MIFRc"	"EN"	"35"	"Male"	"G5"	7
"24"	"R_2QVUTvHQF2MIFRc"	"EN"	"35"	"Male"	"G6"	6
